에피소드 0 : 51, epsilon: 1.0, 보상 합:52
에피소드 27400 : 176, epsilon: 0.2540982562484062, 보상 합:177
에피소드 27500 : 56, epsilon: 0.2528309043033453, 보상 합:57
에피소드 27600 : 140, epsilon: 0.2515698734601153, 보상 합:141
에피소드 27700 : 62, epsilon: 0.2503151321913023, 보상 합:63
에피소드 27800 : 83, epsilon: 0.249066649126741, 보상 합:84
에피소드 27900 : 228, epsilon: 0.24782439305272885, 보상 합:229
에피소드 28000 : 215, epsilon: 0.24658833291124654, 보상 합:216
에피소드 28100 : 112, epsilon: 0.24535843779918098, 보상 합:113
에피소드 28200 : 98, epsilon: 0.244134676967553, 보상 합:99
에피소드 28300 : 67, epsilon: 0.24291701982074812, 보상 합:68
에피소드 28400 : 56, epsilon: 0.24170543591575214, 보상 합:57
에피소드 28500 : 59, epsilon: 0.24049989496138982, 보상 합:60
에피소드 28600 : 312, epsilon: 0.23930036681756747, 보상 합:313
에피소드 28700 : 123, epsilon: 0.23810682149451953, 보상 합:124
에피소드 28800 : 65, epsilon: 0.2369192291520587, 보상 합:66
에피소드 28900 : 194, epsilon: 0.2357375600988303, 보상 합:195
에피소드 29000 : 54, epsilon: 0.23456178479156892, 보상 합:55
에피소드 29100 : 141, epsilon: 0.23339187383436072, 보상 합:142
에피소드 29200 : 143, epsilon: 0.23222779797790877, 보상 합:144
에피소드 29300 : 55, epsilon: 0.23106952811880072, 보상 합:56
에피소드 29400 : 52, epsilon: 0.22991703529878194, 보상 합:53
에피소드 29500 : 53, epsilon: 0.22877029070403126, 보상 합:54
에피소드 29600 : 100, epsilon: 0.22762926566444044, 보상 합:101
에피소드 29700 : 48, epsilon: 0.22649393165289786, 보상 합:49
에피소드 29800 : 277, epsilon: 0.2253642602845747, 보상 합:278
에피소드 29900 : 56, epsilon: 0.2242402233162158, 보상 합:57
