C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-12 06:12:49.753498: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-12 06:12:49.753761: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-12 06:12:53.645403: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-12 06:12:53.649555: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-12 06:12:53.649881: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-12 06:12:53.658509: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-12 06:12:53.658993: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-12 06:12:53.659643: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-12 06:12:53.660582: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 24300 : 999, epsilon: 0.03, 보상 합:987
에피소드 24400 : 999, epsilon: 0.03, 보상 합:973
에피소드 24500 : 999, epsilon: 0.03, 보상 합:988
에피소드 24600 : 999, epsilon: 0.03, 보상 합:1022
에피소드 24700 : 999, epsilon: 0.03, 보상 합:994
에피소드 24800 : 999, epsilon: 0.03, 보상 합:999
에피소드 24900 : 999, epsilon: 0.03, 보상 합:988
에피소드 25000 : 626, epsilon: 0.03, 보상 합:528
에피소드 25100 : 999, epsilon: 0.03, 보상 합:978
에피소드 25200 : 999, epsilon: 0.03, 보상 합:963
에피소드 25300 : 999, epsilon: 0.03, 보상 합:995
에피소드 25400 : 999, epsilon: 0.03, 보상 합:991
에피소드 25500 : 999, epsilon: 0.03, 보상 합:983
에피소드 25600 : 999, epsilon: 0.03, 보상 합:989
에피소드 25700 : 672, epsilon: 0.03, 보상 합:596
에피소드 25800 : 999, epsilon: 0.03, 보상 합:982
에피소드 25900 : 999, epsilon: 0.03, 보상 합:993
에피소드 26000 : 999, epsilon: 0.03, 보상 합:1008
에피소드 26100 : 213, epsilon: 0.03, 보상 합:143
에피소드 26200 : 999, epsilon: 0.03, 보상 합:958
에피소드 26300 : 999, epsilon: 0.03, 보상 합:1000
에피소드 26400 : 999, epsilon: 0.03, 보상 합:984
에피소드 26500 : 999, epsilon: 0.03, 보상 합:996
에피소드 26600 : 999, epsilon: 0.03, 보상 합:1005
에피소드 26700 : 999, epsilon: 0.03, 보상 합:999
에피소드 26800 : 999, epsilon: 0.03, 보상 합:1001
에피소드 26900 : 508, epsilon: 0.03, 보상 합:436
에피소드 27000 : 999, epsilon: 0.03, 보상 합:988
에피소드 27100 : 999, epsilon: 0.03, 보상 합:1005
에피소드 27200 : 999, epsilon: 0.03, 보상 합:983
에피소드 27300 : 999, epsilon: 0.03, 보상 합:977
에피소드 27400 : 999, epsilon: 0.03, 보상 합:978
에피소드 27500 : 999, epsilon: 0.03, 보상 합:999
에피소드 27600 : 999, epsilon: 0.03, 보상 합:994
에피소드 27700 : 999, epsilon: 0.03, 보상 합:936
에피소드 27800 : 999, epsilon: 0.03, 보상 합:1006
에피소드 27900 : 999, epsilon: 0.03, 보상 합:1008
에피소드 28000 : 999, epsilon: 0.03, 보상 합:997
에피소드 28100 : 999, epsilon: 0.03, 보상 합:983
에피소드 28200 : 999, epsilon: 0.03, 보상 합:979
에피소드 28300 : 999, epsilon: 0.03, 보상 합:1010
에피소드 28400 : 999, epsilon: 0.03, 보상 합:1000
에피소드 28500 : 999, epsilon: 0.03, 보상 합:1001
에피소드 28600 : 999, epsilon: 0.03, 보상 합:972
에피소드 28700 : 999, epsilon: 0.03, 보상 합:1012
에피소드 28800 : 999, epsilon: 0.03, 보상 합:986
에피소드 28900 : 999, epsilon: 0.03, 보상 합:983
에피소드 29000 : 999, epsilon: 0.03, 보상 합:971
에피소드 29100 : 999, epsilon: 0.03, 보상 합:977
에피소드 29200 : 999, epsilon: 0.03, 보상 합:976
에피소드 29300 : 999, epsilon: 0.03, 보상 합:993
에피소드 29400 : 999, epsilon: 0.03, 보상 합:1017
에피소드 29500 : 210, epsilon: 0.03, 보상 합:157
에피소드 29600 : 156, epsilon: 0.03, 보상 합:111
에피소드 29700 : 999, epsilon: 0.03, 보상 합:968
에피소드 29800 : 999, epsilon: 0.03, 보상 합:988
에피소드 29900 : 999, epsilon: 0.03, 보상 합:1004
에피소드 30000 : 999, epsilon: 0.03, 보상 합:1005
에피소드 30100 : 999, epsilon: 0.03, 보상 합:967
에피소드 30200 : 701, epsilon: 0.03, 보상 합:614
에피소드 30300 : 999, epsilon: 0.03, 보상 합:1000
에피소드 30400 : 999, epsilon: 0.03, 보상 합:988
에피소드 30500 : 999, epsilon: 0.03, 보상 합:992
에피소드 30600 : 999, epsilon: 0.03, 보상 합:988
에피소드 30700 : 999, epsilon: 0.03, 보상 합:1004
에피소드 30800 : 999, epsilon: 0.03, 보상 합:978
에피소드 30900 : 999, epsilon: 0.03, 보상 합:983
에피소드 31000 : 999, epsilon: 0.03, 보상 합:1006
에피소드 31100 : 999, epsilon: 0.03, 보상 합:1001
에피소드 31200 : 999, epsilon: 0.03, 보상 합:987
에피소드 31300 : 999, epsilon: 0.03, 보상 합:993
에피소드 31400 : 999, epsilon: 0.03, 보상 합:984
에피소드 31500 : 999, epsilon: 0.03, 보상 합:1012
에피소드 31600 : 999, epsilon: 0.03, 보상 합:984
에피소드 31700 : 999, epsilon: 0.03, 보상 합:1010
